source,run_dir,method,method_label,seed,data_fraction,lambda_orbit,max_boost,relative_l2,orbit_ood_relative_l2,equivariance_defect_relative,severity
training,runs/ablations/2d_galilean_n64_compute_matched/fraction_0.05/aug_steps_6/seed_23,aug,FNO + aug.,23,0.05,0.05,0.25,0.2984768562018871,0.3227749466896057,0.2411552364937961,
training,runs/ablations/2d_galilean_n64_compute_matched/fraction_0.05/aug_steps_6/seed_31,aug,FNO + aug.,31,0.05,0.05,0.25,0.2880410924553871,0.3231638460420072,0.2437815009616315,
training,runs/ablations/2d_galilean_n64_compute_matched/fraction_0.05/aug_steps_6/seed_47,aug,FNO + aug.,47,0.05,0.05,0.25,0.2985662575811147,0.3251632070168853,0.243200154043734,
training,runs/ablations/2d_galilean_n64_1pct_lambda_0p1/fraction_0.01/aug_orbit_lambda_0.1_steps_4/seed_23,aug_orbit,FNO + aug. + orbit,23,0.01,0.1,0.25,0.5740373209118843,0.5867450572550297,0.3831079206429422,
training,runs/ablations/2d_galilean_n64_1pct_lambda_0p1/fraction_0.01/aug_orbit_lambda_0.1_steps_4/seed_31,aug_orbit,FNO + aug. + orbit,31,0.01,0.1,0.25,0.675119798630476,0.6875967308878899,0.4215838615782559,
training,runs/ablations/2d_galilean_n64_1pct_lambda_0p1/fraction_0.01/aug_orbit_lambda_0.1_steps_4/seed_47,aug_orbit,FNO + aug. + orbit,47,0.01,0.1,0.25,0.636393778026104,0.6473605157807469,0.3951493487693369,
training,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_23,aug_orbit,FNO + aug. + orbit,23,0.02,0.1,0.25,0.3517421875149011,0.3743666750378907,0.2530845678411424,
training,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.01_steps_4/seed_23,aug_orbit,FNO + aug. + orbit,23,0.02,0.01,0.25,0.5052915513515472,0.533201512414962,0.3685741126537323,
training,runs/ablations/2d_galilean_n64_paper_ladder/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_23,aug_orbit,FNO + aug. + orbit,23,0.02,0.05,0.25,0.4079300407320261,0.4304103041067719,0.2967575057409704,
training,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_31,aug_orbit,FNO + aug. + orbit,31,0.02,0.1,0.25,0.3739837352186441,0.4028443736024201,0.2692930868361145,
training,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.01_steps_4/seed_31,aug_orbit,FNO + aug. + orbit,31,0.02,0.01,0.25,0.5714566707611084,0.600124292075634,0.4116803705692291,
training,runs/ablations/2d_galilean_n64_paper_ladder/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_31,aug_orbit,FNO + aug. + orbit,31,0.02,0.05,0.25,0.4431467857211828,0.4728768290951848,0.3311604899354279,
training,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_47,aug_orbit,FNO + aug. + orbit,47,0.02,0.1,0.25,0.3763684388250112,0.3974168375134468,0.2666297974064946,
training,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.01_steps_4/seed_47,aug_orbit,FNO + aug. + orbit,47,0.02,0.01,0.25,0.5748099572956562,0.5969447772949934,0.4062551385723054,
training,runs/ablations/2d_galilean_n64_paper_ladder/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_47,aug_orbit,FNO + aug. + orbit,47,0.02,0.05,0.25,0.4441098347306251,0.4644093024544418,0.3193480891641229,
training,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_59,aug_orbit,FNO + aug. + orbit,59,0.02,0.1,0.25,0.3189374580979347,0.3558515668846667,0.2533877780660987,
training,runs/ablations/2d_galilean_n64_paper_ladder/fraction_0.02/aug_orbit_lambda_0.05_steps_4/seed_59,aug_orbit,FNO + aug. + orbit,59,0.02,0.05,0.25,0.3555195834487676,0.394859722815454,0.2864377486985177,
training,runs/ablations/2d_galilean_n64_2pct_lambda_robustness/fraction_0.02/aug_orbit_lambda_0.1_steps_4/seed_71,aug_orbit,FNO + aug. + orbit,71,0.02,0.1,0.25,0.4171714447438717,0.444437903817743,0.2959073826204985,
